title,summary,page_length,categories,revision_count,creation_date,last_edit_date,pageviews_since_2015,last_revid,touched,external_links,lang_links,top_contributors,backlinks
Maxim Wien,"Maxim Wien is one of the oldest and most well known brothels in Vienna, Austria. There are around 20 to 25 women of different nationalities working Maxim Wien at any given time. Maxim is one of the last sex clubs still operational in Vienna. Maxim Wien is known as a ""all-in-one club,"" meaning that it is a strip, sex, and escort club. The club has a sizable reputation and is known among local and international businessmen. There is no entry fee to the club.",8444,Category:All articles needing additional references;Category:All articles with unsourced statements;Category:Articles needing additional references from May 2022;Category:Articles with short description;Category:Articles with unsourced statements from May 2022;Category:Brothels;Category:CS1 German-language sources (de);Category:Prostitution in Austria;Category:Short description matches Wikidata,46,2019-09-16T09:15:36Z,2024-03-27T07:04:45Z,63470,1215808003,2025-04-19T13:40:49Z,http://www.internationalsexguide.nl/forum/showthread.php?621-Vienna;https://www.erotikforum.at/themen/maxim-kaerntnerstrasse.184325/;http://forum.sex-vienna.com/Forum-Maxim-Wien-Forum;https://maxim-wien.com/;https://bar-schoenbrunn.at/;https://escortgirlsvienna.com/;https://www.meinbezirk.at/innere-stadt/c-leute/sommernacktparty-im-variet-maxim-wien_a1783268;https://www.heute.at/s/-20628868;http://www.pressreader.com/austria/kronen-zeitung/20160401/281908772285021;https://www.krone.at/332121;https://rotlichtwien.wordpress.com/2010/05/23/josef-stern-will-durchstarten-zeitung-oesterreich-hilft/;https://sex-vienna.com/2019/09/14/maxim-wien-review-2019/;http://brothelvienna.info/brothel-reviews/best-brothels-of-vienna-2019/;https://rotlichtwien.wordpress.com/2011/07/17/monacobar-braucht-die-taxis-und-hat-geschaeftsidee/;https://sex-vienna.com/2014/10/01/table-dance-bars-in-vienna-now-and-then/;https://regiowiki.at/wiki/Maxim_Wien;https://maxim-wien.com/category/erotic-events/;http://www.engeljehringer.com/2012-04-30-maxim-benefizversteigerung.html;http://www.susanne-s-schick.com/info/Aktuell/Eintrage/2012/4/30_Lyons_Club_Maria_Theresia_WienVersteigerung_30._April_2012.html;http://www.edithlechner.at/aktuell1213.htm;https://sex-vienna.com/2012/06/22/nightclub-maxim-great-brothel-in-vienna/;http://forum.sex-vienna.com/Thread-Best-brothel-club-to-start-working-at-as-a-girl;https://maxim-wien.com/miss-maxim-pageant-2012-en/;https://www.oe24.at/oesterreich/chronik/Little-Caprice-So-heiss-wird-ihr-Wien-Auftritt/272003500;https://www.oe24.at/oesterreich/chronik/Porno-Star-Little-Caprice-kommt-nach-Wien/271864378;https://www.kosmo.at/die-geheimnisse-der-wiener-bordelle/;https://www.wien-girls.at/;https://www.jstor.org/action/doBasicSearch?Query=%22Maxim+Wien%22&acc=on&wc=on;https://www.google.com/search?as_eq=wikipedia&q=%22Maxim+Wien%22;https://www.google.com/search?tbm=nws&q=%22Maxim+Wien%22+-wikipedia&tbs=ar:1;https://www.google.com/search?&q=%22Maxim+Wien%22&tbs=bkt:s&tbm=bks;https://www.google.com/search?tbs=bks:1&q=%22Maxim+Wien%22+-wikipedia;https://scholar.google.com/scholar?q=%22Maxim+Wien%22,,AnomieBOT;Isaidnoway;Comp.arch;Chris the speller;GoingBatty;Noq;Neils51;Helper201;Apocheir;Mazewaxie;ST47;WikiCleanerBot;Puncsos;Kolta99;Kimjonss;Camneloin;Several teeth;Fevertheoctopus,Brothel;Maxim;Prostitution in Austria;User:NoMonaLisa;Wikipedia:WikiProject Sexology and sexuality/Sex work task force;Wikipedia:WikiProject Sexology and sexuality/Sex work task force/to do;Talk:Maxim Wien;User talk:Kimjonss;User:Rlink2/Music 4;User:Maincomb/A73
Mirognathus,"Mirognathus is a monospecific genus of deepwater maine ray-finned fish belonging to the family Alepocephalidae, the slickheads. The only species in the genus is Mirognathus normani, the beaked slickhead or Norman's smooth-head, which is found in the north-east and western Atlantic Ocean, the western Indian Ocean and the western Pacific Ocean. This species grows to a standard length of  20 centimetres (7.9 in).",1613,Category:Alepocephalidae;Category:All stub articles;Category:Articles with 'species' microformats;Category:Articles with short description;Category:Cite IUCN without doi;Category:IUCN Red List data deficient species;Category:Monotypic ray-finned fish genera;Category:Ray-finned fish stubs;Category:Short description is different from Wikidata;Category:Taxa described in 1951;Category:Taxa named by Albert Eide Parr;Category:Taxonbars of monotypic genera missing species;Category:Taxonbars with multiple manual Wikidata items,15,2012-04-02T02:10:07Z,2024-11-23T17:44:44Z,3786,1259153663,2025-05-26T08:41:26Z,http://www.fishbase.org/summary/SpeciesSummary.php?genusname=Mirognathus&speciesname=normani;https://www.gbif.org/species/2410720;https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=623336;https://www.marinespecies.org/aphia.php?p=taxdetails&id=126704;https://eunis.eea.europa.eu/species/125349;https://www.fishbase.ca/summary/10906;https://biodiversity.org.au/afd/taxa/Mirognathus_normani;https://www.irmng.org/aphia.php?p=taxdetails&id=10537519;https://treatment.plazi.org/id/7B567704-3593-CD8C-C163-BCB6E53A0AE7;https://zoobank.org/NomenclaturalActs/2AD55927-5803-48A7-BCF5-8EB414DF9B84;https://www.catalogueoflife.org/data/taxon/43MBH;https://obis.org/taxon/126704;https://inaturalist.org/taxa/529362;https://biodiversity.org.au/afd/taxa/Mirognathus;https://www.catalogueoflife.org/data/taxon/5TP3;https://www.gbif.org/species/2410719;https://inaturalist.org/taxa/89986;https://www.irmng.org/aphia.php?p=taxdetails&id=1066702;https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=623313;https://treatment.plazi.org/id/65CC7B64-6B9A-1C9B-609D-1AA055CE343D;https://www.marinespecies.org/aphia.php?p=taxdetails&id=125878;https://zoobank.org/NomenclaturalActs/923BB0B7-338D-423F-974E-F204766C387D;https://tree.opentreeoflife.org/taxonomy/browse?id=3642773;https://tree.opentreeoflife.org/taxonomy/browse?id=3642772;https://www.iucnredlist.org/species/18140253/44737343;https://fishesofaustralia.net.au/home/species/3593;https://bench.boldsystems.org/index.php/TaxBrowser_TaxonPage?taxid=140899;https://bench.boldsystems.org/index.php/TaxBrowser_TaxonPage?taxid=140900,Mirognathus;Mirognathus,Fadesga;Magioladitis;Addbot;Quetzal1964;Plantdrew;Makecat-bot;Couiros22;Scorpions13256;Lennart97;Tom.Bot;Divingpetrel;YorkshireExpat;ShortDescBot,Alepocephalidae;Mirognathus normani;Talk:Mirognathus;Template:Taxonomy/Mirognathus;User:BilledMammal/Species (three sentence)
Mystic River (disambiguation),"The Mystic River is in eastern Massachusetts, US.
Mystic River may also refer to:

Mystic River (Connecticut), in southeastern Connecticut, US",538,Category:All article disambiguation pages;Category:All disambiguation pages;Category:Disambiguation pages;Category:Short description is different from Wikidata,27,2006-03-09T11:00:02Z,2023-10-23T20:04:15Z,55313,1181557600,2025-05-13T12:58:32Z,,Mystic River;Mystic River;Mystic River;Mystic River;Mystic River;Rzeka tajemnic,Erik;Addbot;Xqbot;Hoof Hearted;Ghirlandajo;FrescoBot;Mistakefinder;Village Explainer;Kevinalewis;WikitanvirBot;The Duke of Waltham;Ark25;CPAScott;Omphaloscope;Mike Dillon;XP528;Enpitsu;Svetovid;NOLA504ever;Princess of Ara,Mystic River;Mystic River (Connecticut);Mystic river (disambiguation);Mystic;Wikipedia:Links to (disambiguation) pages/L-Z;Talk:Mystic River (disambiguation)
New Zealand ten-cent coin,"The New Zealand ten-cent coin is the lowest-denomination coin of the New Zealand dollar. The 10-cent coin was introduced when the New Zealand dollar was introduced on 10 July 1967, replacing the New Zealand shilling coin. In 2006 its size was reduced as part of a revision of New Zealand's coins, which also saw its alloy become copper-plated steel.",5417,Category:1967 establishments in New Zealand;Category:Articles with short description;Category:Coin article with no obverse image;Category:Coin article with no reverse image;Category:Decimal coins of New Zealand;Category:Short description is different from Wikidata;Category:Ten-cent coins;Category:Use dmy dates from December 2020,44,2012-01-15T23:18:31Z,2025-02-25T03:47:37Z,81115,1277523096,2025-05-13T13:47:55Z,http://www.rbnz.govt.nz/notes_and_coins/coins/0101459.html;https://web.archive.org/web/20150709120029/http://www.rbnz.govt.nz/notes_and_coins/coins/0101459.html;https://www.stuff.co.nz/business/money/300683373/what-happens-now-to-new-zealands-coins-and-bank-notes;https://www.rbnz.govt.nz/hub/news/2024/03/image-of-king-charles-iii-to-appear-on-new-zealands-coins-confirmed;https://www.rbnz.govt.nz/statistics/series/reserve-bank/coin-mintings,,Frietjes;InternetArchiveBot;Cydebot;Citation bot;Schwede66;Ground Zero;Nick Number;Zinnober9;Good Olfactory;CorenSearchBot;Grutness;Eyesnore;Lcmortensen;P.T. Aufrette;Thepoem;StuZealand;C for Koala;Thecoolmate;AviCapt;Hoteltravago;WylzslfLkpalkOlyl;Qwerfjkl;Panamitsu;SageWikiPro,Economy of New Zealand;Telecommunications in New Zealand;Rogernomics;New Zealand dollar;Ruthanasia;Tourism in New Zealand;Reserve Bank of New Zealand;Think Big;New Zealand Institute (think tank);Post Office Squirrel savings account;Beer in New Zealand;Closer Economic Relations;New Zealand pound;Taxation in New Zealand;New Zealand head tax;Overseas Investment Office;Australian and New Zealand Standard Industrial Classification;Florin (New Zealand coin);Official cash rate;KiwiSaver
Sun Sibei,Sun Sibei is a Chinese cyclist who competes in freestyle BMX. She was a silver medalist at the 2023 UCI BMX Freestyle World Championships and the 2024 UCI Urban Cycling World Championships.,4222,Category:21st-century Chinese sportswomen;Category:Articles with short description;Category:Chinese female cyclists;Category:Cyclists from Hebei;Category:Date of birth unknown;Category:Female BMX riders;Category:Living people;Category:Short description matches Wikidata;Category:Use dmy dates from December 2024,24,2024-12-21T20:59:05Z,2025-01-21T19:47:57Z,408,1270897825,2025-05-14T20:25:26Z,https://olympics.com/en/news/sun-sibei-wins-bmx-freestyle-park-women-olympic-qualifier-shanghai;https://olympics.com/en/news/sun-sibei-bmx-freestyle-exclusive-secret-staying-calm-wushu;https://www.fise.fr/en/fise-world-series-2024/fise-world-series-shanghai-2024/news/sibei-sun-takes-gold-home;https://www.chinadaily.com.cn/a/202405/22/WS664d33d5a31082fc043c864c_2.html;https://olympics.com/en/news/olympic-qualifier-series-budapest-bmx-freestyle-women-sun-sibei-out-results;https://olympics.com/en/news/uci-bmx-freestyle-park-world-championships-final-men-women-2023;https://sport.hebei.gov.cn/m/view.php?aid=21723;https://www.theguardian.com/sport/2024/dec/21/hannah-roberts-bmx-world-championships,Sun Sibei;Sun Sibei,Arjayay;Hildreth gazzard;KiranBOT;Family27390,User:Hildreth gazzard;UCI Urban Cycling World Championships – Women's freestyle BMX;2023 UCI BMX Freestyle World Championships;Wikipedia:WikiProject Women in Red/Metrics/December 2024;Draft:Sun Sibei;Talk:Sun Sibei;2024 UCI Urban Cycling World Championships
URI (disambiguation),"URI may refer to:

Ultrasound research interface, software
Uniform Resource Identifier, identification of a web technology resource
United Religions Initiative
URI, the NYSE symbol of United Rentals
Unione radiofonica italiana (URI), Italian broadcaster
University of Rhode Island, a public university in the United States
Upper respiratory infection",480,Category:All article disambiguation pages;Category:All disambiguation pages;Category:Disambiguation pages;Category:Short description matches Wikidata,21,2007-04-24T16:46:30Z,2025-01-28T13:45:42Z,83906,1272407856,2025-05-17T17:14:39Z,,,AnomieBOT;RussBot;BD2412;MusikBot II;Xqbot;Paine Ellsworth;Bkonrad;DarknessBot;BOTijo;BD2412bot;JVz;CROIX;Nivamp;Intrisit;NijikasDorito,Uniform Resource Identifier;Uri;List of acronyms: U;Wikipedia:List of TLA disambiguation pages;Talk:URI (disambiguation)
Valeriu Rudic,"Valeriu Rudic (born 18 February 1947 in Talmaza) is a Moldovan microbiologist, chemist, biochemist, and pharmacist. He is a titular member of the Academy of Sciences of Moldova and has made significant contributions to scientific research and the development of new biotechnological products.",5491,Category:1947 births;Category:Articles with short description;Category:Biochemists;Category:CS1 Romanian-language sources (ro);Category:Living people;Category:Microbiologists;Category:Moldovan chemists;Category:Moldovan pharmacists;Category:Recipients of the Order of Honour (Moldova);Category:Short description is different from Wikidata;Category:Titular members of the Academy of Sciences of Moldova,35,2014-07-15T17:48:36Z,2025-05-17T07:26:17Z,6258,1290815348,2025-05-17T07:26:17Z,https://www.wikidata.org/wiki/Q12743072#identifiers;https://isni.org/isni/0000000048368059;https://viaf.org/viaf/19156103;https://id.loc.gov/authorities/n2008052099;https://id.oclc.org/worldcat/entity/E39PBJvXfHwyQrXhtqXjwYxMT3;https://enciclopedia.asm.md/wp-content/uploads/Acad_V_Rudic.pdf;https://old.asm.md/index.php?go=descoperiri_detalii&n=15&new_language=1;https://old.asm.md/?go=asambleea_about_memb&n=62&new_language=1;http://curentul.md/stiri/proiect-curentul-stiinta-in-r-moldova-la-ce-foloseste-preparatul-bior-si-cine-l-a-inventat.html;https://www.bizlaw.md/2018/10/12/compania-dior-vrea-sa-blocheze-inregistrarea-unei-marci-a-savantului-valeriu-rudic,Valeriu Rudic,AnomieBOT;EmausBot;GünniX;GoodDay;Tom.Reding;Yobot;KasparBot;SuperJew;MoohanBOT;MrLinkinPark333;Racklever;Wgolf;Cyfal;XXN;Biruitorul;BAICAN XXX;Anonimu;Scymso;2004ana;Michaelwallace22;FMSky;Editor1722,"User:SuperJew;Order of the Republic (Moldova);Talk:Valeriu Rudic;Valeriu;Rudic (surname);Order of Honour (Moldova);Wikipedia:The 50,000 Destubbing Challenge;Wikipedia:WikiProject Europe/The European Destubathon;Wikipedia:WikiProject Europe/The European Destubathon/Claims for topics;Wikipedia:WikiProject Europe/The European Destubathon/Entries for countries H to P;Wikipedia:WikiProject Europe/The European Destubathon/Final contest scoreboard;Wikipedia:WikiProject Europe/The 20,000 Challenge/12001-13000"
Condensed aerosol fire suppression,"Condensed aerosol fire suppression is a particle-based method of fire extinction. It is similar to but not identical to dry chemical fire extinction methods, using an innovative pyrogenic, condensed aerosol fire suppressant. It is a highly effective fire suppression method for class A, B, C, E and F (as is the case for most fire-extinguishing agents, it is not applicable to metal fires – class D). Some aerosol-generating compounds (e.g., potassium nitrate-based) produce a corrosive by-product that may damage electronic equipment, although later generations lower the effect.
Condensed aerosol fire suppression systems employ a fire-extinguishing agent consisting of very finely divided solid particles, suspended in an inert gas. Those superfine aerosol particles are pyrotechnically generated via the combustion of an aerosol-forming agent (AFA) which is stable at room temperature and does not need to be stored in a pressurized container.
Benefits include high performance (3 times more effective than banned Halon 1301, with the aerosol leveraging both cooling, dilution and chemical inhibition), general availability (from plant-size systems to compact and lightweight portable tooling), low toxicity, environmentally friendliness (e.g., 0% ozone depleting potential), non-pressurized systems, and overall cost-effectiveness.",26262,Category:All Wikipedia articles in need of updating;Category:All articles needing additional references;Category:All articles to be expanded;Category:All articles with style issues;Category:All articles with unsourced statements;Category:Articles needing additional references from May 2025;Category:Articles needing additional references from September 2013;Category:Articles to be expanded from March 2022;Category:Articles to be expanded from March 2023;Category:Articles with multiple maintenance issues;Category:Articles with short description;Category:Articles with unsourced statements from March 2025;Category:Fire suppression;Category:Short description matches Wikidata;Category:Use mdy dates from September 2024;Category:Webarchive template wayback links;Category:Wikipedia articles in need of updating from March 2023;Category:Wikipedia articles with style issues from May 2025,130,2011-06-08T23:03:54Z,2025-05-24T18:31:23Z,133322,1292013799,2025-05-24T18:31:23Z,http://www.nrl.navy.mil/media/publications/spectra/;http://database.ul.com/cgi-bin/XYV/template/LISEXT/1FRAME/showpage.html?&name=FWSA.GuideInfo&ccnshorttitle=Fixed+Condensed+Aerosol+Extinguishing+System+Units&objid=1079884702&cfgid=1073741824&version=versionless&parent_id=1079884701&sequence=1;http://www.epa.gov/ozone/snap/fire/lists/flood.html;https://www.nist.gov/el/fire_research/upload/R9302953.pdf;https://www.nist.gov/el/fire_research/hotwc.cfm;https://www.nist.gov/el/fire_research/upload/R0501578.pdf;https://web.archive.org/web/20140417014623/http://ulstandardsinfonet.ul.com/outscope/outscope.asp?fn=2775.html;https://web.archive.org/web/20120319183225/http://www.navsea.navy.mil/teamships/Sea21_Auxiliary_Amphibious_Warfare/Sea21_Amphibious/TheSurfrider2011-1-28.pdf;https://dx.doi.org/10.6028/NIST.SP.984.4;https://www.jstor.org/action/doBasicSearch?Query=%22Condensed+aerosol+fire+suppression%22&acc=on&wc=on;https://www.theguardian.com/world/2016/mar/14/eight-die-in-thai-bank-after-chemical-fire-extinguisher-leak;https://assets.publishing.service.gov.uk/media/5e66598fd3bf7f1083bbe501/2020-SB1-Resurgam.pdf;https://web.archive.org/web/20120312145937/http://www.cen.eu/cen/Sectors/TechnicalCommitteesWorkshops/CENTechnicalCommittees/Pages/Standards.aspx?param=6172&title=Fixed%20firefighting%20systems;https://web.archive.org/web/20110511021746/http://www.nrl.navy.mil/media/publications/spectra/;https://www.iso.org/standard/52016.html;https://www.firepro.com/en/fire-suppression-technology;https://www.isrmag.com/condensed-aerosol-fire-suppression-system/;https://www.agcs.allianz.com/content/dam/onemarketing/agcs/agcs/pdfs-risk-advisory/tech-talks/ARC-Tech-Talk-Vol-15-Condensed-Aerosol-Fire-Extinguishing-Systems-EN.pdf;https://doi.org/10.1007/s10694-021-01148-4;https://doi.org/10.1007%2Fs10694-021-01148-4;https://doi.org/10.1007/BF01873401;https://doi.org/10.1007%2FBF01873401;https://doi.org/10.1007/s10694-013-0361-6;https://doi.org/10.1007%2Fs10694-013-0361-6;https://doi.org/10.1590%2F0104-6632.20150323s00003510;https://www.google.com/search?as_eq=wikipedia&q=%22Condensed+aerosol+fire+suppression%22;https://www.google.com/search?tbm=nws&q=%22Condensed+aerosol+fire+suppression%22+-wikipedia&tbs=ar:1;https://www.google.com/search?&q=%22Condensed+aerosol+fire+suppression%22&tbs=bkt:s&tbm=bks;https://www.google.com/search?tbs=bks:1&q=%22Condensed+aerosol+fire+suppression%22+-wikipedia;https://scholar.google.com/scholar?q=%22Condensed+aerosol+fire+suppression%22;https://api.semanticscholar.org/CorpusID:254514792;https://api.semanticscholar.org/CorpusID:109995489;https://api.semanticscholar.org/CorpusID:254499585;https://search.worldcat.org/issn/0104-6632;https://search.worldcat.org/issn/1572-8099,Extinción de incendio por aerosol condensado;Аэрозольное пожаротушение;Аерозольне пожежогасіння,InternetArchiveBot;AnomieBOT;Cydebot;Citation bot;Praxidicae;KolbertBot;Yobot;Addbot;SchreiberBike;Chris the speller;Anastrophe;Discospinster;Funandtrvl;Materialscientist;The Anome;Clinamental;FrescoBot;Artoria2e5;Tony1;Sumanuil;BattyBot;Bender the Bot;LorenzoB;Cewbot;Sadads;Lightmouse;Petr Matas;De728631;Monkbot;Kku;ChuispastonBot;P199;Aspening;Reify-tech;Groyolo;Macessa;Russss;Rport;Techguy95;Bigstaceysnider;Sandielm;SS1901;Claudia0112;Jd;OAbot;Strugglehouse;Flagrant hysterical curious;Seaara;Aera23;SimLibrarian;Trasheater Midir;Norlk,Explosive;Firewall (construction);Engineer;Potassium nitrate;Fire drill;Fire hose;Fire sprinkler system;Potassium bicarbonate;Potassium carbonate;Pyrolysis;Fire hydrant;Flash point;Deflagration;Detonation;Smoke detector;Backdraft;Fire alarm notification appliance;Flashover;Fire point;Conflagration
Dar al-hijra,"The term dār al-hijra (Arabic: دار الهجرة, lit. 'place of exile/refuge/migration') was originally applied to Medina, the city where Muhammad and his followers sought refuge when exiled from Mecca in 622 (Hijrah). The term was accordingly later adopted by radical Islamic sects, most notably the Isma'ilis, for their strongholds, which were to serve both as bases of operations and as nuclei of 'true' Islamic communities.

",8245,Category:Arabic words and phrases;Category:Articles containing Arabic-language text;Category:CS1 German-language sources (de);Category:History of Ismailism;Category:Islamic terminology,28,2020-10-16T18:07:32Z,2025-05-05T05:19:27Z,14967,1288882281,2025-05-20T16:47:52Z,https://books.google.com/books?id=cSO9zh61AGEC;http://dx.doi.org/10.1163/1573-3912_islam_SIM_8618;http://dx.doi.org/10.1163/1573-3912_islam_SIM_2860;http://dx.doi.org/10.1163/1573-3912_islam_SIM_6247;https://doi.org/10.12730%2F13091719.2011.22.36;https://doi.org/10.1163%2F9789004284531_003;https://search.worldcat.org/oclc/495469525,Darul hijrah,,Order of Assassins;Alamut Castle;Kharijites;Abu Abdallah al-Shi'i;Dar Al-Hijrah;Wikipedia:WikiProject Academic Journals/Journals cited by Wikipedia/I11;User:Cplakidas/Articles;Nizari Ismaili state;List of Assassin strongholds;Nizari–Seljuk conflicts;Hamdan Qarmat;Sack of Mecca;Ibn Hawshab;Dār al-hijra;Talk:Dar al-hijra;Al-Qasim al-Rassi;Wikipedia:WikiProject Academic Journals/Journals cited by Wikipedia/DOI/10.12250
Earth to America,"Earth to America may refer to:

Earth to America (album), 2006 album by Widespread Panic
Earth to America (film), a 2005 TV show to raise awareness of environmental issues",238,Category:All article disambiguation pages;Category:All disambiguation pages;Category:Disambiguation pages;Category:Short description is different from Wikidata,4,2007-12-10T22:04:17Z,2015-11-15T16:43:37Z,2452,690774834,2025-05-13T13:11:43Z,,,Tassedethe;The Evil Spartan,User:Moeron/Sandbox01;User:Moeron/Completed Goals;Earth To America;Earth to america;Wikipedia:Articles for creation/2007-12-10;Talk:Earth to America;User:RussBot/Two-link disambiguation pages/014
Gary Jenkins,"Gary ""Lil G"" Jenkins is an American musician. He is the lead singer of the R&B group Silk. Born and raised in Nashville, he is the youngest of seven children.

",5558,"Category:20th-century African-American male singers;Category:20th-century American male singers;Category:20th-century American singers;Category:21st-century African-American male singers;Category:21st-century American male singers;Category:All BLP articles lacking sources;Category:All articles with unsourced statements;Category:American contemporary R&B singers;Category:Articles with hCards;Category:Articles with short description;Category:Articles with unsourced statements from August 2008;Category:BLP articles lacking sources from July 2011;Category:Blayse members;Category:Living people;Category:Musicians from Nashville, Tennessee;Category:Pages using infobox musical artist with associated acts;Category:Short description is different from Wikidata;Category:Short description matches Wikidata;Category:Tennessee State University alumni;Category:Year of birth missing (living people)",148,2007-06-08T18:40:51Z,2025-05-15T07:31:35Z,259062,1290512095,2025-05-24T20:01:22Z,http://www.garygjenkins.com/;http://www.iamgjenkins.com/;https://books.google.com/books?id=RVFLAAAAYAAJ;https://www.jstor.org/action/doBasicSearch?Query=%22Gary+Jenkins%22&acc=on&wc=on;https://www.google.com/search?as_eq=wikipedia&q=%22Gary+Jenkins%22;https://www.google.com/search?tbm=nws&q=%22Gary+Jenkins%22+-wikipedia&tbs=ar:1;https://www.google.com/search?&q=%22Gary+Jenkins%22&tbs=bkt:s&tbm=bks;https://www.google.com/search?tbs=bks:1&q=%22Gary+Jenkins%22+-wikipedia;https://scholar.google.com/scholar?q=%22Gary+Jenkins%22,,Cydebot;RussBot;Binksternet;BD2412;ClueBot NG;Joe Decker;PrimeBOT;Ser Amantio di Nicolao;Starcheerspeaksnewslostwars;Klemen Kocjancic;Cabayi;Onel5969;Rathfelder;SmackBot;Lightbot;Yobot;Aboutmovies;KasparBot;Derek R Bullamore;Rich Farmbrough;RjwilmsiBot;R'n'B;JJMC89 bot;Helpful Pixie Bot;FrescoBot;Tassedethe;Khazar2;Tony1;Rmcrae2015;Bgwhite;Bender the Bot;Aspects;Johnpacklambert;Beetstra;NihlusBOT;SporkBot;JustAGal;MississippiMagnolia;Matt Deres;J Milburn;SidP;1ForTheMoney;Dobie80;ClubOranje;Hello Control;JYi;Badapro;Txcrossbow;Rockypedia;Weetoddid;4ever881;Daveacura79;Lwoods77;PearBOT II;SdkbBot;PEPSI697,Keith Sweat;Silk (group);Love Session;Marc Nelson (singer);Freak Me;Tonight (Silk album);User:AlexNewArtBot/TennesseeSearchResult/archive1;Wikipedia:WikiProject Spam/LinkSearch/myspace.com;User:AlexNewArtBot/MusicSearchResult/archive3;Blayse;Template:Silk;User talk:J Milburn/archive6;Always and Forever (Silk album);Lose Control (album);Silk (album);Silktime;The Other Side (Gary Jenkins album);User:Random832/WantedCats/1/5;I Can Go Deep;Madea's Family Reunion (play)
Ghorbati,"The Ghorbati (also known as Mugat or Hadurgar, قرباط, Qurbat or Gurbat) are an ethnic group and originally a nomadic community in Iran, Afghanistan, Iraq, Syria and Central Asia where they are part of the various communities termed Lyuli. They are mostly situated in Iran, where others have migrated from. They trace their ancestry to Sassanid Persia. Lyuli and Garachi are subgroup of Ghorbati.
In 1976–77, the Ghorbati in Afghanistan numbered 1,000 families (ca. 5,000 people). Some settled in Peshawar, Pakistan, and some subgroups are connected to the Basseri and Qashqai tribes.",5086,Category:All stub articles;Category:Articles containing Arabic-language text;Category:Articles with short description;Category:Asian ethnic group stubs;Category:Dom people;Category:Ethnic groups in Afghanistan;Category:Ethnic groups in Iran;Category:Modern nomads;Category:Short description matches Wikidata,69,2009-01-26T16:32:39Z,2025-03-08T17:50:28Z,74923,1279455458,2025-05-20T16:11:02Z,https://books.google.com/books?id=L6Q6-QjvhpAC;https://books.google.com/books?id=wnIYAAAAIAAJ;https://books.google.com/books?id=sl_dDVctycgC&pg=PA291;https://books.google.com/books?id=4bIaAQAAMAAJ;https://books.google.com/books?id=CWWAAAAAMAAJ;https://books.google.com/books?id=A1dtAAAAMAAJ;https://books.google.com/books?id=54gyRnhIugkC&dq=persian+gypsy+language+Ghorbati&pg=PA295,Pueblo ghorbati;مردم غربتی;Ghorbati;Mugatlar;高北人,Bbb23;AnomieBOT;Citation bot;Dbachmann;Rodw;Xqbot;Invadibot;Kwamikagami;Hildeoc;Rpyle731;Bender the Bot;Nalanidil;Yabroq;WikiCleanerBot;Toweli;Inma Gasteiz;Zoupan;Yogiibaer;Namaka;Danre98;Sirdog;Arctic Circle System;CorrectionsJackal;O chawal;GharibShah7;TrademarkedTarantula;Cookiemonster1618;Anti-Agnotology,List of contemporary ethnic groups;Romani people;Dom people;Doma (caste);Lom people;Gurbeti;Doms in Iraq;Domari language;Lyuli;Kalbelia;Zott;Peripatetic groups of Afghanistan;Sapera (Hindu);Bede people;Abdal (caste);Template:Dom people;Lori people;Perna caste;Kan (tribe);Heri (caste)
Gisburg,"Gisburg (born Gisburg Smialek, in Salzburg, Austria) is an Austrian composer, singer, and music editor for film.",2070,Category:20th-century Austrian women singers;Category:21st-century Austrian composers;Category:21st-century Austrian women composers;Category:All stub articles;Category:Austrian singer stubs;Category:Living people;Category:Musicians from Salzburg;Category:Tzadik Records artists;Category:Year of birth missing (living people),52,2009-02-21T02:10:22Z,2025-05-08T05:06:06Z,12156,1289370686,2025-05-08T05:06:06Z,https://www.allmusic.com/artist/p141927;https://www.imdb.com/name/nm0321078/;https://www.newmusicusa.org/profile/gisburg-smialek/;https://www.wikidata.org/wiki/Q5564884#identifiers;https://viaf.org/viaf/241662706;https://d-nb.info/gnd/173894798;https://id.loc.gov/authorities/no99072854,Gisburg,Le Deluge;Bearcat;Citation bot;BD2412;KolbertBot;Vmavanti;Ser Amantio di Nicolao;Rathfelder;Rjwilmsi;Yobot;KasparBot;Smasongarrison;RjwilmsiBot;Waacstats;AllyD;Dawynn;Erik9bot;Alistair1978;Lute88;FreeRangeFrog;CactusBot;WikiCleanerBot;Cosprings;Eyewash;OBCPO1;Informationischanging;MurderByDeadcopy;JJMC89 bot III;Statesofexception,User talk:Lute88;Hounddog (film);Julian Kytasty;User:AlexNewArtBot/ATSearchResult/archive4;User:AlexNewArtBot/NewYorkSearchResult/archive21;User:AlexNewArtBot/MusicSearchResult/archive28;Talk:Gisburg;User:Nixeagle/BLP0els/7;New York Bandura Ensemble;User:Pascal666/living/6;User:Father Goose/Unreferenced BLPs/Unreferenced BLPs from August 2009;User:Tony Sidaway/Living people/tranche 031;User:Stinglehammer/Female jazz musicians;User:Rlink2/Music 3
